Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
Panetta,panetta_john,552,2,442,142,705493387852427265,False,,2016-04-07 08:27:16,717992125086846976,RT @opinionsamerica @opinionsamerica Vote and retweet Lets be heard #AlwaysTrump #Vote2016 #realdonaldTrump #maga #Military #Donal,False,
jyoti,LOVENLIGHT4U,896,2,205,128,4445570548,False,,2016-04-07 08:22:27,717990911301451776,RT @opinionsamerica @opinionsamerica Vote and retweet Lets be heard #AlwaysTrump #Vote2016 #realdonaldTrump #maga #Military #Donal,False,
All-American Drew,opinionsamerica,18526,2,5290,7563,3331835352,False,United States,2016-04-07 08:19:45,717990231664828416,@opinionsamerica Vote and retweet Lets be heard #AlwaysTrump #Vote2016 #realdonaldTrump #maga #Military #DonaldTrump #RETWEEETME,False,3331835352
Dan Kohrdt,DKohrdt,11741,0,3,124,4541034916,False,,2016-04-07 08:12:26,717988390889779200,Trump About You https//tco/QK2MC9wQjR via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https//tco/GihwOZorSg,False,
Lee,dmgmfmcm,2669,0,4998,779,4899778497,False,"England, United Kingdom",2016-04-07 08:05:31,717986649951576064,Rap world is depopulating the whites in a program involving poisonshttps//tco/zEsqW3qVgT #RealDonaldTrump #TrumpTrain #panamapapers,False,
Dan Kohrdt,DKohrdt,11741,0,3,124,4541034916,False,,2016-04-07 08:01:07,717985542919622656,Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https//tco/sPEKR4yn39,False,
Dan Malakin,DanMalakin,4995,1,9956,9104,469661253,False,,2016-04-07 07:57:17,717984579114676224,RT @OccupyOcupy Writing Medical Fiction Medical Mystery Fantasy/Adventure https//tco/B7n9GPvzSS #writetip #realdonaldtrump,False,
William Lynes MD,wlynesmd,5637,0,9460,10318,177291959,False,Temecula California,2016-04-07 07:30:39,717977873970241536,606 University Lee W Hickok medical mystery with a sudden twist #writetip #realdonaldtrump https//tco/GtQ8F6GAf6,False,
William Lynes MD,wlynesmd,5637,0,9460,10318,177291959,False,Temecula California,2016-04-07 07:01:02,717970422042484736,Pirates Scoundrels and Kings an adventure/fantasya touching story of faith #writetip #realdonaldtrump https//tco/GtQ8F6oYQw,False,
Occupy оккупироват,OccupyOcupy,413,1,2540,564,2942549443,False,,2016-04-07 06:48:47,717967337320636416,Writing Medical Fiction Medical Mystery Fantasy/Adventure https//tco/B7n9GPvzSS #writetip #realdonaldtrump,False,
William Lynes MD,wlynesmd,5637,0,9460,10318,177291959,False,Temecula California,2016-04-07 06:30:34,717962755035242496,Luger Rounds curious medical mystery with a twist #writetip #realdonaldtrump https//tco/GtQ8F6GAf6,False,
RamonaVineyardChurch,SliceofHeavem,110,0,460,103,4128277225,False,"Ramona, CA",2016-04-07 06:20:37,717960252352630784,#realdonaldtrump People that stomp on the American flag should be deported where that practice is honoredJust saying,False,
Dan Kohrdt,DKohrdt,11741,0,3,124,4541034916,False,,2016-04-07 06:20:24,717960197692588032,Trump About You https//tco/QK2MC9wQjR via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https//tco/hqKyC7SdS5,False,
JSQ Improvements,JSQimprovements,8016,0,30241,30222,1142814942,False,Brother in Christ-Follows you ,2016-04-07 06:18:09,717959630287036419,@theblaze #realdonaldtrump name 1 person U lost on 911 U bad #TedCruz about NY values say U lost 100s of friends give us 1 name proven liar,False,1142814942
Donald Trump Fan,trumpsdeck,4,0,1001,38,717950516496445440,False,"New York, NY",2016-04-07 06:17:55,717959573366185984,Donald Trumps immigration policy might be extreme#realdonaldtrump #trumpsdeck #immigration #policy https//tco/s7Tl53SXq1,False,
Lynn Gernert,GernertLynn,9103,2,25,339,4072278859,False,,2016-04-07 06:13:33,717958474076794880,RT @SteveEPFunk #CruzCrew #NeverTrump #realDonaldTrump https//tco/DW47TN2cGI,False,
Steve EP,SteveEPFunk,38,2,46,26,713274689259319296,False,"Nevada, USA",2016-04-07 06:12:41,717958255368994816,#CruzCrew #NeverTrump #realDonaldTrump https//tco/DW47TN2cGI,False,
Donald Trump Fan,trumpsdeck,4,0,1001,38,717950516496445440,False,"New York, NY",2016-04-07 06:10:12,717957627469123585,Donald Trumps Rivals Home In on New York#newyork #realdonaldtrump #trumpsdeck https//tco/8nmZulS4MP,False,
LAZARA Mikah ❤️ JC 2,BlackQueenLara,15000,0,3007,7301,33408119,False," Beverly Hills 90209, Paris F",2016-04-07 06:09:28,717957444928929792,@DanScavino Not resting she an #ET Seeing how #Ivanka is so happy and strong tells me that #realDonaldTrump has nothing against #women ,False,620571475
William Lynes MD,wlynesmd,5637,0,9460,10318,177291959,False,Temecula California,2016-04-07 06:00:50,717955270798917632,For all your medical mysteries and any fiction turn to https//tco/bjW50S4miH #writetip #realdonaldtrump https//tco/GtQ8F6GAf6,False,
Joshua Green,joshgreen907,25,0,102,14,3161685930,False,Anchorage Alaska,2016-04-07 05:59:05,717954830136774656,Has Hillary released her medical records Inconsequence #GeriatricDEMs #TrumpTrain #Cruz2016 #foxnews #realdonaldtrump #gettheburn,False,
Donald Trump Fan,trumpsdeck,4,0,1001,38,717950516496445440,False,"New York, NY",2016-04-07 05:55:44,717953989778616322,#trumpsdeck #realdonaldtrump https//tco/XayeWCjfYP,False,
fairgameratease,fairgameratease,551,0,0,5,519711191,False,,2016-04-07 05:54:23,717953649402511360,media promoted #realdonaldtrump made money when dems were quiet promoting #sanders and sanders owe them big and will pay #wakeupamerica,False,
Donald Trump Fan,trumpsdeck,4,0,1001,38,717950516496445440,False,"New York, NY",2016-04-07 05:54:23,717953647674458112,#realDonaldTrump #trumpsdeck https//tco/YERy4Hlky6,False,
Joshua Green,joshgreen907,25,0,102,14,3161685930,False,Anchorage Alaska,2016-04-07 05:52:23,717953145133924353,The diaper bulge will rely show in that red jump suit #GeriatricDEMs #TrumpTrain #Cruz2016 #foxnews RepublicanConvention #realdonaldtrump,False,
