Name,Twitter Handle,Total Tweets,Total Retweets,Total followings,Total Followers,User Id,User Verified,User Location,Date of tweet,Tweet id,Tweet Text,Tweet Retweet Status,Tweet Reply To Id
DJ VERY legal teens,juiceyyy_j,9163,35,279,321,381569412,FALSE,419-513,07-04-16 8:26,7.17992E+17,RT @PizzaPartyBen Helo @realDonaldTrump can first time voter get a retweet on this video me and my mom made for you https//tco/u4k4SDTuzy,FALSE,
It's Jesssssssi!!!,jessiblues,75,0,25,29,368056440,FALSE,sdsu,07-04-16 8:26,7.17992E+17,https//tco/fLhkVDFA0m @realDonaldTrump you have 90 days to reproduce these in the United States if you want to become president,FALSE,
WolfNW,WolfNW,98613,12,1845,1452,245688940,FALSE,,07-04-16 8:26,7.17992E+17,RT @KGBforTrump Damn you Wisconsin You embarrassed your Premier @realDonaldTrump KGB will waterboard GB Packers tonight Your fault ,FALSE,
Lynette cleveland,lynette_clevela,262,0,161,74,1046893267,FALSE,,07-04-16 8:26,7.17992E+17,@RockyZach @realDonaldTrump how is my birdie today,FALSE,1214119292
Marsha Davis,davis_levin,8555,324,1177,661,827214126,FALSE,,07-04-16 8:26,7.17992E+17,RT @DiamondandSilk @MichaelCohen212 thanks for keeping the media straight about @realDonaldTrump because they have been getting it twiste,FALSE,
bobby,Bcastillo40,960,2147,129,105,126742743,FALSE,,07-04-16 8:26,7.17992E+17,RT @DonaldTrumpLA Lindsey Graham said @realDonaldTrump is killing the republican party Retweet if you think Lindsey is a DUMBASS http/,FALSE,
Bob Critchley,CritchleyBob,56724,2,428,894,3178690927,FALSE,"Perth, Western Australia",07-04-16 8:26,7.17992E+17,RT @tyIorswlft13 @realDonaldTrump This is why nobody should eat McDonalds https//tco/T6iJ3zLpO8,FALSE,
Perry Burd,BurdPerry,17191,819,121,473,3207820942,FALSE,"San Antonio, TX",07-04-16 8:26,7.17992E+17,RT @KatrinaPierson With 92 million Americans jobless the only color that matters is GREEN @realDonaldTrump will be the best jobs preside,FALSE,
pat.rod,rodilosso_patty,39226,2,719,791,3435638633,FALSE,,07-04-16 8:26,7.17992E+17,RT @dragonian3333 #TrumpTrain DELEGATES MUST BE REPUBLICANS If u r not a delegate &ampvoted already 4 @realDonaldTrump how abt say bye htt,FALSE,
Bernard Rivera,BernardRivera54,182,0,32,8,4646472073,FALSE,"Pahrump, NV",07-04-16 8:26,7.17992E+17,@realDonaldTrump New York is like Hawaii Ethnically diverse But ready to embrace right People need to win over money Pc be damned,FALSE,25073877
Zna Trainer,ZnaTrainer,258267,634,43919,44908,13817822,FALSE,,07-04-16 8:26,7.17992E+17,RT @MaeveReston The Boca flyover @realDonaldTrump circles venue in his chopper to the theme song from the movie Air Force One https//,FALSE,
james cobb,jimmycobb91,927,3,134,133,7.05445E+17,FALSE,,07-04-16 8:26,7.17992E+17,RT @KayAdamsB @realDonaldTrump @DonaldJTrumpJr @EricTrump Tending Donald Trump w/ 213000 tweets#TrumpArmy #WomenForTrump https//,FALSE,
Bob Critchley,CritchleyBob,56724,2086,428,894,3178690927,FALSE,"Perth, Western Australia",07-04-16 8:26,7.17992E+17,RT @realDonaldTrump I was not scheduled to be on the @oreillyfactor Pure fiction,FALSE,
Jan,JanEarolyn,11003,92,2681,2358,1840174130,FALSE,,07-04-16 8:26,7.17992E+17,RT @RogerJStoneJr I talked with my favorite radio talker @DanaTheBlaze about @realDonaldTrump and @tedcruz https//tco/6UKrPPBdY9 https,FALSE,
Jim Hawkins,jimdwrench,156055,1166,9376,9587,373331421,FALSE,United States,07-04-16 8:26,7.17992E+17,RT @Lrihendry Intelligent Business women for TRUMP #Women4Trump @realDonaldTrump @ChristiChat @LindaSuhler @steph93065 @KamVTV https//t,FALSE,
Poppa J..,JasonDu70557346,1006,0,62,27,4336875553,FALSE,"Los Angeles, CA",07-04-16 8:26,7.17992E+17,@realDonaldTrump didnt collapse from planes hitting them I work construction Planes would ve needed to hit at the bottom,FALSE,25073877
ablebody harps,ablebody4,22881,41,2279,1818,3311054952,FALSE,,07-04-16 8:26,7.17992E+17,RT @Trump_Support @realDonaldTrump you have to NEGOTIATE the best deals of your life Your ART of the DEAL has never been more important,FALSE,
Johnna Beuerlein,fcwic1,42737,2,2659,2337,1520617003,FALSE,,07-04-16 8:26,7.17992E+17,RT @dragonian3333 #TrumpTrain DELEGATES MUST BE REPUBLICANS If u r not a delegate &ampvoted already 4 @realDonaldTrump how abt say bye htt,FALSE,
Lynette cleveland,lynette_clevela,262,10,161,74,1046893267,FALSE,,07-04-16 8:26,7.17992E+17,RT @RockyZach Welcome to new york and new jersey tedplaces where familys are close and enemies are in the hudson @realDonaldTrump https//,FALSE,
TGbTG,swiftlyreloaded,3152,5224,94,133,602848144,FALSE,,07-04-16 8:26,7.17992E+17,RT @realDonaldTrump Unbelievable evening Just made a speech in front 17000 amazing New Yorkers in Bethpage Long Island great to be h,FALSE,
Richard King,_Richard_A_King,11560,164,57,482,202750031,FALSE,,07-04-16 8:26,7.17992E+17,RT @RogerJStoneJr #CNN finally admits I renounced violence in delegate protests #YUGE #StopTheSteal from @realDonaldTrump July 1821 https,FALSE,
Backwoods Legit,Bama_Redneck80,241830,5224,9172,8422,40979332,FALSE,from the South.,07-04-16 8:26,7.17992E+17,RT @realDonaldTrump Unbelievable evening Just made a speech in front 17000 amazing New Yorkers in Bethpage Long Island great to be h,FALSE,
pat.rod,rodilosso_patty,39226,2,719,791,3435638633,FALSE,,07-04-16 8:26,7.17992E+17,RT @come2vegas @realDonaldTrump @DanScavinoReince IF YOU DONT LIKE THE PARTY THEN SIT DOWN THE PARTY IS CHOOSING A NOMINEEhttps//t,FALSE,
AllAboutTruth,NoMorePolitical,4121,0,16,73,4855679640,FALSE,United States,07-04-16 8:26,7.17992E+17,@LouDobbs @realDonaldTrump Yourguests slam Trump for a lack of ground game constantly Rollins says it each week Wrong,FALSE,26487169
Renegade Cowboy ⚓️,Rene_gadeCowboy,311917,206,6165,14045,21155483,FALSE,langley ,07-04-16 8:26,7.17992E+17,RT @rickwtyler The @realDonaldTrump announces that hes keeping Common Core https//tco/Z8OweizJGQ,FALSE,
Trumplican,Tea4Freedom,95837,8,5064,7802,63843485,FALSE,"Trumpville, USA",07-04-16 8:25,7.17992E+17,RT @SteveSGoddard @realDonaldTrump wants to keep these people out of the UShttps//tco/BbOKtlMPdw https//tco/PnJQWXGQrl,FALSE,
YouxiaCruz #CruzCrew,Youxia88,254640,206,2922,4530,167862232,FALSE,"Riverbanks Zoo, Columbia, SC",07-04-16 8:25,7.17992E+17,RT @rickwtyler The @realDonaldTrump announces that hes keeping Common Core https//tco/Z8OweizJGQ,FALSE,
swissQ,luzern1swiss,3323,0,418,95,1627365506,FALSE,,07-04-16 8:25,7.17992E+17,@tedcruz @realDonaldTrump DNLD quotes this very well in a poem applied to illegal immigrants incldg CRUDDY Cruz https//tco/jyJXAzxprv,FALSE,23022687
Bryan Pereira,Bumbs251,1205,2086,93,41,3392052059,FALSE,,07-04-16 8:25,7.17992E+17,RT @realDonaldTrump I was not scheduled to be on the @oreillyfactor Pure fiction,FALSE,
Bryan Pereira,Bumbs251,1205,781,93,41,3392052059,FALSE,,07-04-16 8:25,7.17992E+17,RT @DiamondandSilk A @realDonaldTrump Rally is the Greatest Paid Agitators Showing up 2 B Disruptive Hes not even President yet &amp hes,FALSE,
TheAwkwardRepublican,TheAwkwardGOP,14296,2,5842,5312,7.0452E+17,FALSE,USA,07-04-16 8:25,7.17992E+17,RT @CamillaArthur Humanity strikes back @realDonaldTrump Join #WorldToTrump open letter thats sweeping the planet #Trump https//tco/RE,FALSE,
RMO for TRUMP!!,BlueSkyNJ,27346,89,2553,2686,48105920,FALSE,"New Jersey, USA",07-04-16 8:25,7.17992E+17,RT @Veteran4Trump @AdBell45 @realDonaldTrump Thank You for your Service Soldier and Welcome aboard the Trump Train Oooohhrraaa #Vets4T,FALSE,
"Annie Prochera, M.D.",OffTheMenu67,4192,0,192,437,276389757,FALSE,San Diego.CA (Libtard Central),07-04-16 8:25,7.17992E+17,@MichelleFields U ignored SSrequest pushed thruSS &amp reached4 @realDonaldTrumpVIDEO PROOF whichU assumed didnt exist UNeed psych consult,FALSE,122226401
PAforTRUMP,PA_for_Trump,517,320,63,71,7.07781E+17,FALSE,"Shaler Township, PA",07-04-16 8:25,7.17992E+17,RT @PJStrikeForce WE STAND W/ #BikersForTrump #Wisconsin #KickStandsUp@realDonaldTrump#Trump2016 #TrumpTrain https//tco,FALSE,
Bryan Pereira,Bumbs251,1205,2971,93,41,3392052059,FALSE,,07-04-16 8:25,7.17992E+17,RT @realDonaldTrump #MakeAmericaGreatAgain #Trump2016 https//tco/hjygbNsxee,FALSE,
Stark Raving,StarkRaving1,34897,63,1454,1415,815174527,FALSE,,07-04-16 8:25,7.17992E+17,RT @healthandcents @realDonaldTrump gets it #NewYorkValues brought us out of the rubble of 911#NeverForget#Trump2016#NY #PA ht,FALSE,
Carol,carolannzito,1090,61,38,48,4851457765,FALSE,,07-04-16 8:25,7.17992E+17,RT @RogerJStoneJr NOW I join @MalzbergShow at 7pm to talk @realDonaldTrump EST Direct TV #349 Dish #223 Verizon /Fios #115 #Yuge,FALSE,
