Name,Twitter Handle,Total Tweet,Total ReTweets,Total Following,Tolat Followers,UserID,User Verified,User Location,Date of Tweet,Tweet ID,Tweet Text,Tweet ReTweet Status,Tweet  Reply To ID
Mary Cross,rettwit1,21607,1,2313,1697,22158652,False,,2016-12-02 19:01:22,804762400280846336,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/Ta9…,False,
Junta Civica  Duran,DURANFUERZA,34170,1,4885,5090,470426763,False,Duran-Guayas- Ecuador,2016-12-02 19:00:48,804762256768638980,RT @amrightnow: Go #USMC #Vote2016 #realdonaldtrump For the Strongest #Military #veterans #realbencarson #Army #navy #airforce https://t.co…,False,
American Right Now,amrightnow,547663,1,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 19:00:32,804762191937339392,Go #USMC #Vote2016 #realdonaldtrump For the Strongest #Military #veterans #realbencarson #Army #navy #airforce https://t.co/qHzSl4WKI3,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 19:00:31,804762186874847232,#realdonaldtrump Trump About You https://t.co/j58e8aacrE via @YouTube  #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/EU623dxzlH,False,
American Right Now,amrightnow,547663,0,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 19:00:25,804762160962437120,Trump About You #realdonaldtrump #trump2016 #WisconsinPrimary https://t.co/j58e8aacrE #VoteTrump2016 #A2 #tcot #A1 https://t.co/IhmboiD4x6,False,
American Right Now,amrightnow,547663,1,31931,34927,449110269,False,"New Jersey, USA",2016-12-02 18:57:19,804761382214320128,Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/Ta9tkvl00F,False,
Basswood Group,bfsgroupinc,4384,0,196,57,2490142490,False,"Cleveland, Ohio",2016-12-02 18:56:02,804761055834570752,#Millennials #GenXers will most likely never see tuition reforms #BernieSanders pledged now as #realDonaldTrump includes wolves of Wall st,False,
j cowley,cosmicfirepeace,28970,0,4026,2004,747891181338525696,False,,2016-12-02 18:54:13,804760598974074880,"#realDonaldTrump So what did you Win... #ElectorialCollege Votes....
I like #Presidents that Win #Majority #Votes which you clearily did not",False,
christiane amanpoor,mspiggysmother,34,0,0,0,802948149337669633,False,,2016-12-02 18:51:42,804759968633135104,GREAT REAL HUGE job at Ohio PRESIDENT TRUMP! The BEST speech heard yet Mocking those media TURKEYS who 8 CROW with much FUN #realdonaldtrump,False,
tim stark,dihkphour,195,0,24,13,69412629,False,,2016-12-02 18:48:20,804759118569422848,The mainStream media isscared todeath thatthey willbe chargedwith felonioushonesty ifthey everstop followingorders.#NoDAPL  #realdonaldtrump,False,
Bill Ketchersid,corgraph,243,0,133,22,52438701,False,"Tampa, FL",2016-12-02 18:46:43,804758710878928896,@PolticsNewz #realDonaldTrump Very unprofessional comment you made about the president elect.,False,733246533156655104
tim stark,dihkphour,195,0,24,13,69412629,False,,2016-12-02 18:45:28,804758397316952064,"stop treating the oilbank police like terrorists. they are ""moderate rebels"" #NoDAPL
 #realdonaldtrump",False,
