Name,Twitter Handle,Total Tweet,Total Following,Tolat Followers,UserID,User Verified,User Location,User Description,Date of Tweet,Tweet ID,Tweet Text,Tweet_Lang,Tweet Source,Tweet ReTweet Status,Tweet  Reply To Name,Tweet  Reply To ID
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-10-31 19:08:25,793167761509851137,#ObamacareFail #HillarycareFail https://t.co/gaXOWVI0Xa,und,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-10-31 20:49:56,793193310219272198,"Wow! I hear you Warren, Michigan. Streaming live - join us America. It is time to DRAIN THE SWAMP!
Watch: https://t.co/pjXELwc5E1",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 10:31:46,793400131525677056,Look at the way Crooked Hillary is handling the e-mail case and the total mess she is in. She is unfit to be president. Bad judgement!,en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 11:55:47,793421274043285504,"Wow, now leading in @ABC /@washingtonpost Poll 46 to 45. Gone up 12 points in two weeks, mostly before the Crooked Hillary blow-up!",en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 12:01:11,793422633111023616,"Crooked Hillary should not be allowed to run for president. She deleted 33,000 e-mails AFTER getting a subpoena from U.S. Congress. RIGGED!",en,Twitter for Android,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 13:35:47,793446442031575040,"JOIN ME TOMORROW IN FLORIDA!

MIAMI•12pm
https://t.co/A3X71Q6sG2

ORLANDO•4pm
https://t.co/6BqTVoty5C

PENSACOLA•7p… https://t.co/kNzrAeuLZO",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 14:14:09,793456094198759424,"So terrible that Crooked didn't report she got the debate questions from Donna Brazile, if that were me it would have been front page news!",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 17:24:18,793503948313419776,"#ICYMI: Governor @mike_pence and I were in Valley Forge, Pennsylvania today. You can watch it here:… https://t.co/6GWgmCV23Z",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 18:44:44,793524189240188928,.@DarrellIssa is a very good man. Help him win his congressional seat in California.,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 21:15:42,793562183573442560,'Kept me out of jail': Top DOJ official involved in Clinton probe represented her campaign chairman: https://t.co/QUZn97CEOq,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 21:16:57,793562498100178945,Trump promises special session to repeal Obamacare: https://t.co/wTCd108yrV,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 21:20:04,793563282854383617,Hillary Advisers Wanted Her To Avoid Supporting Israel When Talking To Democrats: https://t.co/y7m8iVU173,en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 21:28:55,793565506431168512,"Mika Brzezinski: Dem Criticism of Comey Reinforcing Idea ‘There’s Something There'
https://t.co/EvBp0xESPN https://t.co/QIDBiDpat8",en,Twitter for iPhone,False,,
Donald J. Trump,realDonaldTrump,34069,40,16489699,25073877,True,"New York, NY",President-elect of the United States,2016-11-01 21:46:18,793569883409657856,'Podesta urged Clinton team to hand over emails after use of private server emerged' https://t.co/NYvVmoA8wl,en,Twitter for iPhone,False,,
